Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Ireland,IRL,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,112.63898727451
Ireland,IRL,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,123.833252341058
Ireland,IRL,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,112.642223252048
Ireland,IRL,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,106.225529860547
Ireland,IRL,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,107.714406778338
Ireland,IRL,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,98.9756637931415
Ireland,IRL,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,97.2967969752233
Ireland,IRL,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,92.6120288181544
Ireland,IRL,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,88.3877745171602
Ireland,IRL,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,79.5135517632697
Ireland,IRL,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,72.6923374647689
Ireland,IRL,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,65.2241925033244
Ireland,IRL,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,62.6571468260084
Ireland,IRL,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,59.7037754129639
Ireland,IRL,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,39.2827637999262
Ireland,IRL,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,70.6051297648496
Ireland,IRL,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,69.8791214520906
Ireland,IRL,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,82.7364047813847
Ireland,IRL,2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,81.497652129372
Ireland,IRL,2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,81.6603179259796
Ireland,IRL,2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,80.3419004455932
Ireland,IRL,2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,79.3175322983798
Ireland,IRL,2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,77.8162327811477
Ireland,IRL,2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,75.9904733800824
Ireland,IRL,2008,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,73.5817093166002
Ireland,IRL,2007,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,70.6898005197562
Ireland,IRL,2006,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,59.0662253559834
Ireland,IRL,2005,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,72.832521305181
Ireland,IRL,2018,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,180354855362.922
Ireland,IRL,2017,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,158755309133.381
Ireland,IRL,2016,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,126806982968.708
Ireland,IRL,2015,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,129548492013.524
Ireland,IRL,2014,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,116931510902.881
Ireland,IRL,2013,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,107896054554.704
Ireland,IRL,2012,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,113515243155.816
Ireland,IRL,2011,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,123813895845.603
Ireland,IRL,2010,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,109946104414.574
Ireland,IRL,2009,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,115354325209.951
Ireland,IRL,2008,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,160919578099.895
Ireland,IRL,2007,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,154594644610.772
Ireland,IRL,2006,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,113326183211.958
Ireland,IRL,2005,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,84839215535.2182
Ireland,IRL,2018,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,340338750456.786
Ireland,IRL,2017,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,331380800496.33
Ireland,IRL,2016,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,283986862057.083
Ireland,IRL,2015,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,266017399341.769
Ireland,IRL,2014,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,239062260381.802
Ireland,IRL,2013,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,183799019461.528
Ireland,IRL,2012,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,175520680541.576
Ireland,IRL,2011,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,182953672775.994
Ireland,IRL,2010,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,169386495216.739
Ireland,IRL,2009,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,166695531940.522
Ireland,IRL,2008,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,195197174890.923
Ireland,IRL,2007,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,183000705525.961
Ireland,IRL,2006,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,153423312738.309
Ireland,IRL,2005,"Imports of goods and services (BoP, current US$)",BM.GSR.GNFS.CD,139103119142.216
Ireland,IRL,2018,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,11.2958838444686
Ireland,IRL,2017,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,9.7249388440106
Ireland,IRL,2016,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,7.92294685488044
Ireland,IRL,2015,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,9.52243406236236
Ireland,IRL,2014,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,11.5694240501089
Ireland,IRL,2013,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,11.3007421515071
Ireland,IRL,2012,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,12.4830368617323
Ireland,IRL,2011,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,12.8633843461438
Ireland,IRL,2010,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,13.3367870260421
Ireland,IRL,2009,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,14.0627818028923
Ireland,IRL,2008,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,14.2695295960257
Ireland,IRL,2007,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,17.0009067412041
Ireland,IRL,2006,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,17.4432642271292
Ireland,IRL,2005,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,15.0273152823541
Ireland,IRL,2018,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,121716868440.879
Ireland,IRL,2017,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,100112140534.289
Ireland,IRL,2016,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,92108090568.501
Ireland,IRL,2015,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,96412177081.7513
Ireland,IRL,2014,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,94062314731.6657
Ireland,IRL,2013,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,66099353433.2589
Ireland,IRL,2012,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,63605803311.2718
Ireland,IRL,2011,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,67238180959.8416
Ireland,IRL,2010,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,62109598144.8773
Ireland,IRL,2009,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,62821006303.636
Ireland,IRL,2008,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,84327717925.6644
Ireland,IRL,2007,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,88106554117.6582
Ireland,IRL,2006,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,73102428521.6003
Ireland,IRL,2005,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,67697287156.5161
Ireland,IRL,2018,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,218621882015.907
Ireland,IRL,2017,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,231268659962.041
Ireland,IRL,2016,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,191878771488.582
Ireland,IRL,2015,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,169605222260.018
Ireland,IRL,2014,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,144999945650.136
Ireland,IRL,2013,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,117699666028.269
Ireland,IRL,2012,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,111914877230.304
Ireland,IRL,2011,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,115715491816.152
Ireland,IRL,2010,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,107276897071.861
Ireland,IRL,2009,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,103874525636.886
Ireland,IRL,2008,"Service imports (BoP, current US$)",BM.GSR.NFSV.CD,110869456965.258
